"AtcoCode","Sequence","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"270002700161",2,"U",514560,411843,"","",,"new"
"270002700161",3,"U",514560,411039,"","",,"new"
"270002700161",4,"U",513362,411039,"","",,"new"
"270002700162",1,"U",519611,395790,"","",,"new"
"270002700162",2,"U",520990,395790,"","",,"new"
"270002700162",3,"U",520990,394934,"","",,"new"
"270002700162",4,"U",519611,394934,"","",,"new"
"270002700163",1,"U",507168,385313,"","",,"new"
"270002700163",2,"U",508186,385313,"","",,"new"
"270002700163",3,"U",508186,385036,"","",,"new"
"270002700163",4,"U",507168,385036,"","",,"new"
"270002700164",1,"U",513763,402102,"","",,"new"
"270002700164",2,"U",514592,402102,"","",,"new"
"270002700164",3,"U",514592,401682,"","",,"new"
"270002700164",4,"U",513763,401682,"","",,"new"
"270002700166",1,"U",508542,396483,"","",,"new"
"270002700166",2,"U",509837,396483,"","",,"new"
"270002700166",3,"U",509837,395818,"","",,"new"
"270002700166",4,"U",508542,395818,"","",,"new"
"270002700167",1,"U",510119,404393,"","",,"new"
"270002700167",2,"U",510424,404393,"","",,"new"
"270002700167",3,"U",510424,404144,"","",,"new"
"270002700167",4,"U",510119,404144,"","",,"new"
"270002700168",1,"U",503024,383360,"","",,"new"
"270002700168",2,"U",503585,383360,"","",,"new"
"270002700168",3,"U",503585,383106,"","",,"new"
"270002700168",4,"U",503024,383106,"","",,"new"
"270002700169",1,"U",518737,398359,"","",,"new"
"270002700169",2,"U",519332,398359,"","",,"new"
"270002700169",3,"U",519332,398040,"","",,"new"
"270002700169",4,"U",518737,398040,"","",,"new"
"270002700170",1,"U",516898,401307,"","",,"new"
"270002700170",2,"U",517472,401307,"","",,"new"
"270002700170",3,"U",517472,400879,"","",,"new"
"270002700170",4,"U",516898,400879,"","",,"new"
"270002700171",1,"U",500705,385575,"","",,"new"
"270002700171",2,"U",501018,385575,"","",,"new"
"270002700171",3,"U",501018,385376,"","",,"new"
"270002700171",4,"U",500705,385376,"","",,"new"
"270002700172",1,"U",506059,384984,"","",,"new"
"270002700172",2,"U",507186,384984,"","",,"new"
"270002700172",3,"U",507186,384311,"","",,"new"
"270002700172",4,"U",506059,384311,"","",,"new"
"270002700173",1,"U",506936,383626,"","",,"new"
"270002700173",2,"U",507508,383626,"","",,"new"
"270002700173",3,"U",507508,383153,"","",,"new"
"270002700173",4,"U",506936,383153,"","",,"new"
"270002700174",1,"U",509607,379533,"","",,"new"
"270002700174",2,"U",509978,379533,"","",,"new"
"270002700174",3,"U",509978,379306,"","",,"new"
"270002700174",4,"U",509607,379306,"","",,"new"
